zip,Zipcode name,City,State,County Name
61410,"ABINGDON, IL",ABINGDON,IL,KNOX
61411,"ADAIR, IL",ADAIR,IL,MCDONOUGH
62214,"ADDIEVILLE, IL",ADDIEVILLE,IL,WASHINGTON
60101,"ADDISON, IL",ADDISON,IL,DUPAGE
61230,"ALBANY, IL",ALBANY,IL,WHITESIDE
62215,"ALBERS, IL",ALBERS,IL,CLINTON
62806,"ALBION, IL",ALBION,IL,EDWARDS
60001,"ALDEN, IL",ALDEN,IL,MCHENRY
61231,"ALEDO, IL",ALEDO,IL,MERCER
62601,"ALEXANDER, IL",ALEXANDER,IL,MORGAN
61412,"ALEXIS, IL",ALEXIS,IL,MERCER
60102,"ALGONQUIN, IL",ALGONQUIN,IL,MCHENRY
62001,"ALHAMBRA, IL",ALHAMBRA,IL,MADISON
62410,"ALLENDALE, IL",ALLENDALE,IL,WABASH
61810,"ALLERTON, IL",ALLERTON,IL,VERMILION
62807,"ALMA, IL",ALMA,IL,MARION
61413,"ALPHA, IL",ALPHA,IL,HENRY
62610,"ALSEY, IL",ALSEY,IL,SCOTT
60803,"ALSIP, IL",ALSIP,IL,COOK
62411,"ALTAMONT, IL",ALTAMONT,IL,EFFINGHAM
62905,"ALTO PASS, IL",ALTO PASS,IL,UNION
62002,"ALTON, IL",ALTON,IL,MADISON
61414,"ALTONA, IL",ALTONA,IL,KNOX
61811,"ALVIN, IL",ALVIN,IL,VERMILION
61310,"AMBOY, IL",AMBOY,IL,LEE
61720,"ANCHOR, IL",ANCHOR,IL,MCLEAN
61232,"ANDALUSIA, IL",ANDALUSIA,IL,ROCK ISLAND
61233,"ANDOVER, IL",ANDOVER,IL,HENRY
62906,"ANNA, IL",ANNA,IL,UNION
62413,"ANNAPOLIS, IL",ANNAPOLIS,IL,CRAWFORD
61234,"ANNAWAN, IL",ANNAWAN,IL,HENRY
60002,"ANTIOCH, IL",ANTIOCH,IL,LAKE
61001,"APPLE RIVER, IL",APPLE RIVER,IL,JO DAVIESS
61910,"ARCOLA, IL",ARCOLA,IL,DOUGLAS
62611,"ARENZVILLE, IL",ARENZVILLE,IL,CASS
62501,"ARGENTA, IL",ARGENTA,IL,MACON
61312,"ARLINGTON, IL",ARLINGTON,IL,BUREAU
60004,"ARLINGTON HEIGHTS, IL",ARLINGTON HEIGHTS,IL,COOK
60005,"ARLINGTON HEIGHTS, IL",ARLINGTON HEIGHTS,IL,COOK
60006,"ARLINGTON HEIGHTS, IL",ARLINGTON HEIGHTS,IL,COOK
61721,"ARMINGTON, IL",ARMINGTON,IL,TAZEWELL
61812,"ARMSTRONG, IL",ARMSTRONG,IL,VERMILION
60910,"AROMA PARK, IL",AROMA PARK,IL,KANKAKEE
61722,"ARROWSMITH, IL",ARROWSMITH,IL,MCLEAN
61911,"ARTHUR, IL",ARTHUR,IL,DOUGLAS
60911,"ASHKUM, IL",ASHKUM,IL,IROQUOIS
62612,"ASHLAND, IL",ASHLAND,IL,CASS
62808,"ASHLEY, IL",ASHLEY,IL,WASHINGTON
61912,"ASHMORE, IL",ASHMORE,IL,COLES
61006,"ASHTON, IL",ASHTON,IL,LEE
62510,"ASSUMPTION, IL",ASSUMPTION,IL,CHRISTIAN
61501,"ASTORIA, IL",ASTORIA,IL,FULTON
62613,"ATHENS, IL",ATHENS,IL,MENARD
61235,"ATKINSON, IL",ATKINSON,IL,HENRY
61723,"ATLANTA, IL",ATLANTA,IL,LOGAN
61913,"ATWOOD, IL",ATWOOD,IL,DOUGLAS
