Table 1
CY,county_name,Cases,Rate,
2020,Adams,11,1.69,
2021,Adams,*,1.23,
2021,Alexander,*,1.83,
2020,Bond,*,1.21,
2021,Bond,*,1.23,
2020,Boone,10,1.87,
2021,Boone,*,1.12,
2020,Brown,*,1.54,
2020,Bureau,*,2.45,
2021,Bureau,*,1.55,
2020,Calhoun,*,2.10,
2021,Calhoun,*,4.29,
2020,Carroll,*,0.71,
2021,Cass,*,0.84,
2020,Champaign,50,2.37,
2021,Champaign,47,2.24,
2020,Christian,*,2.48,
2021,Christian,*,0.94,
2020,Clark,*,0.65,
2021,Clark,*,1.97,
2020,Clay,*,0.76,
2021,Clay,*,1.53,
2020,Clinton,*,0.80,
2021,Clinton,*,0.80,
2020,Coles,10,1.99,
2021,Coles,*,1.00,
2020,Cook,2278,4.42,
2021,Cook,2179,4.25,
2020,Crawford,*,0.54,
2021,Crawford,*,1.08,
2020,Cumberland,*,2.79,
2020,De Witt,*,4.50,
2021,De Witt,*,1.30,
2020,DeKalb,26,2.50,
2021,DeKalb,20,1.90,
2020,Douglas,*,0.52,
2020,DuPage,172,1.85,
2021,DuPage,149,1.62,
2020,Edgar,*,0.58,
2021,Edgar,*,0.59,
2020,Edwards,*,3.17,
2021,Effingham,*,1.47,
2020,Fayette,*,0.47,
2021,Fayette,*,0.47,
2021,Ford,*,3.14,
2020,Franklin,*,1.56,
2021,Franklin,*,1.57,
2020,Fulton,*,0.29,
2021,Fulton,*,0.30,
2021,Gallatin,*,2.14,
2020,Greene,*,3.10,
2021,Greene,*,3.90,
2020,Grundy,22,4.29,
2021,Grundy,16,3.12,
2020,Hancock,*,0.57,
2021,Hancock,*,0.57,
2020,Henry,*,1.64,
2021,Henry,*,1.65,
2020,Iroquois,*,1.47,
2021,Iroquois,10,3.76,
2020,Jackson,*,0.88,
2021,Jackson,*,0.54,
2020,Jasper,*,1.04,
2021,Jasper,*,1.04,
2020,Jefferson,*,2.40,
2021,Jefferson,*,2.14,
2020,Jersey,*,2.31,
2021,Jersey,*,1.85,
2020,Jo Daviess,*,0.48,
2020,Johnson,*,0.81,
2021,Johnson,*,0.81,
2020,Kane,95,1.77,
2021,Kane,90,1.69,
2020,Kankakee,50,4.58,
2021,Kankakee,39,3.57,
2020,Kendall,17,1.30,
2021,Kendall,11,0.84,
2020,Knox,13,2.63,
2021,Knox,10,2.04,
2020,Lake,109,1.56,
2021,Lake,138,1.99,
2020,LaSalle,33,3.04,
2021,LaSalle,39,3.62,
2020,Lawrence,*,0.65,
2020,Lee,*,1.77,
2021,Lee,*,2.07,
2020,Livingston,16,4.54,
2021,Livingston,14,3.97,
2020,Logan,*,1.05,
2021,Logan,*,0.35,
2020,Macon,20,1.93,
2021,Macon,28,2.72,
2020,Macoupin,*,1.11,
2021,Macoupin,*,1.35,
2020,Madison,89,3.38,
2021,Madison,78,2.98,
2020,Marion,11,2.95,
2021,Marion,*,2.45,
2020,Marshall,*,5.30,
2020,Mason,*,0.75,
2021,Mason,*,3.04,
2020,Massac,*,1.45,
2021,Massac,*,1.49,
2020,McDonough,*,1.02,
2021,McDonough,*,0.69,
2020,McHenry,81,2.62,
2021,McHenry,57,1.85,
2020,McLean,22,1.27,
2021,McLean,21,1.23,
2020,Menard,*,1.64,
2021,Menard,*,0.83,
2020,Mercer,*,2.58,
2021,Mercer,*,1.96,
2020,Monroe,*,1.73,
2021,Monroe,*,2.00,
2020,Montgomery,*,3.18,
2021,Montgomery,*,3.20,
2020,Morgan,*,1.19,
2021,Morgan,*,2.11,
2020,Ogle,*,1.78,
2021,Ogle,*,1.39,
2020,Peoria,37,2.08,
2021,Peoria,29,1.64,
2020,Perry,*,1.91,
2021,Perry,*,1.94,
2020,Piatt,*,1.22,
2021,Piatt,*,1.23,
2021,Pike,*,0.65,
2020,Pope,*,2.40,
2020,Pulaski,*,1.87,
2020,Putnam,*,1.75,
2020,Randolph,*,0.31,
2021,Randolph,*,1.27,
2020,Richland,*,0.64,
2021,Richland,*,1.30,
2020,Rock Island,14,0.98,
2021,Rock Island,23,1.64,
2020,Saline,*,1.27,
2021,Saline,*,2.59,
2020,Sangamon,51,2.63,
2021,Sangamon,59,3.05,
2020,Shelby,*,0.46,
2021,Shelby,*,0.93,
2020,St. Clair,79,3.05,
2021,St. Clair,69,2.68,
2020,Stephenson,*,1.81,
2021,Stephenson,*,1.36,
2020,Tazewell,24,1.83,
2021,Tazewell,27,2.06,
2020,Union,*,1.80,
2021,Union,*,3.65,
2020,Vermilion,20,2.64,
2021,Vermilion,23,3.09,
2020,Wabash,*,0.87,
2021,Wabash,*,0.87,
2020,Washington,*,2.88,
2021,Washington,*,2.18,
2021,Wayne,*,3.11,
2020,Whiteside,*,1.09,
2021,Whiteside,*,1.10,
2020,Will,154,2.22,
2021,Will,166,2.40,
2020,Williamson,*,0.90,
2021,Williamson,*,1.36,
2020,Winnebago,151,5.35,
2021,Winnebago,131,4.67,
2020,Woodford,*,1.05,
2021,Woodford,*,1.31,
