CY,county_name,Cases,Rate,
2020,Adams,32,4.91,
2021,Adams,30,4.62,
2021,Alexander,*,1.83,
2020,Bond,*,3.03,
2021,Bond,*,5.55,
2020,Boone,56,10.46,
2021,Boone,47,8.79,
2021,Brown,*,4.60,
2020,Bureau,29,8.88,
2021,Bureau,22,6.83,
2020,Calhoun,*,8.42,
2021,Calhoun,*,8.57,
2020,Carroll,*,2.84,
2021,Carroll,*,0.71,
2020,Cass,*,5.02,
2021,Cass,*,7.58,
2020,Champaign,157,7.45,
2021,Champaign,163,7.76,
2020,Christian,19,5.90,
2021,Christian,19,5.97,
2020,Clark,*,3.24,
2021,Clark,*,3.94,
2020,Clay,*,3.04,
2021,Clay,*,3.06,
2020,Clinton,18,4.79,
2021,Clinton,13,3.47,
2020,Coles,73,14.53,
2021,Coles,50,9.99,
2020,Cook,12205,23.67,
2021,Cook,11328,22.12,
2020,Crawford,*,1.61,
2021,Crawford,*,2.17,
2020,Cumberland,*,4.65,
2021,Cumberland,*,0.93,
2020,De Witt,13,8.35,
2021,De Witt,11,7.13,
2020,DeKalb,51,4.90,
2021,DeKalb,59,5.61,
2020,Douglas,19,9.83,
2021,Douglas,*,3.10,
2020,DuPage,709,7.65,
2021,DuPage,638,6.94,
2020,Edgar,12,6.98,
2021,Edgar,11,6.49,
2020,Edwards,*,3.17,
2020,Effingham,11,3.22,
2021,Effingham,10,2.95,
2020,Fayette,14,6.60,
2021,Fayette,17,8.03,
2020,Ford,*,4.56,
2021,Ford,*,5.49,
2020,Franklin,18,4.69,
2021,Franklin,19,4.98,
2020,Fulton,29,8.43,
2021,Fulton,15,4.44,
2020,Gallatin,*,4.02,
2021,Gallatin,*,8.56,
2020,Greene,19,14.74,
2021,Greene,*,5.46,
2020,Grundy,72,14.05,
2021,Grundy,53,10.34,
2020,Hamilton,*,3.70,
2021,Hamilton,*,4.96,
2020,Hancock,*,1.14,
2021,Hancock,*,2.29,
2021,Hardin,*,2.68,
2020,Henderson,*,1.52,
2020,Henry,17,3.48,
2021,Henry,11,2.26,
2020,Iroquois,40,14.71,
2021,Iroquois,34,12.78,
2020,Jackson,62,10.94,
2021,Jackson,40,7.15,
2020,Jasper,*,6.24,
2021,Jasper,*,1.04,
2020,Jefferson,38,10.12,
2021,Jefferson,32,8.54,
2020,Jersey,25,11.54,
2021,Jersey,16,7.41,
2020,Jo Daviess,*,2.38,
2021,Jo Daviess,*,0.95,
2020,Johnson,*,4.04,
2021,Johnson,*,4.05,
2020,Kane,301,5.61,
2021,Kane,328,6.15,
2020,Kankakee,125,11.44,
2021,Kankakee,134,12.27,
2020,Kendall,69,5.29,
2021,Kendall,38,2.90,
2020,Knox,43,8.69,
2021,Knox,24,4.89,
2020,Lake,437,6.25,
2021,Lake,426,6.14,
2020,LaSalle,108,9.94,
2021,LaSalle,93,8.63,
2020,Lawrence,*,0.65,
2021,Lawrence,*,1.94,
2020,Lee,18,5.30,
2021,Lee,22,6.51,
2020,Livingston,27,7.66,
2021,Livingston,37,10.50,
2020,Logan,24,8.37,
2021,Logan,30,10.61,
2020,Macon,91,8.80,
2021,Macon,83,8.08,
2020,Macoupin,53,11.80,
2021,Macoupin,25,5.62,
2020,Madison,325,12.34,
2021,Madison,261,9.98,
2020,Marion,97,26.02,
2021,Marion,80,21.73,
2020,Marshall,*,7.06,
2021,Marshall,*,5.33,
2020,Mason,*,1.49,
2021,Mason,*,6.09,
2020,Massac,*,0.72,
2021,Massac,*,2.97,
2020,McDonough,10,3.41,
2021,McDonough,15,5.16,
2020,McHenry,205,6.64,
2021,McHenry,185,6.02,
2020,McLean,92,5.33,
2021,McLean,51,2.98,
2020,Menard,*,7.37,
2021,Menard,*,5.79,
2020,Mercer,*,1.94,
2021,Mercer,*,4.58,
2020,Monroe,*,1.73,
2021,Monroe,*,1.14,
2020,Montgomery,19,6.71,
2021,Montgomery,13,4.63,
2020,Morgan,27,8.03,
2021,Morgan,36,10.83,
2020,Moultrie,*,1.36,
2021,Moultrie,*,5.56,
2020,Ogle,35,6.92,
2021,Ogle,38,7.56,
2020,Peoria,238,13.35,
2021,Peoria,156,8.82,
2020,Perry,16,7.62,
2021,Perry,*,3.87,
2020,Piatt,18,11.01,
2021,Piatt,*,5.52,
2020,Pike,*,3.23,
2021,Pike,*,2.59,
2020,Pulaski,*,1.87,
2020,Putnam,*,15.74,
2021,Putnam,*,6.99,
2020,Randolph,13,4.09,
2021,Randolph,21,6.69,
2020,Richland,*,1.91,
2021,Richland,*,3.26,
2020,Rock Island,93,6.54,
2021,Rock Island,69,4.91,
2020,Saline,*,3.80,
2021,Saline,10,4.32,
2020,Sangamon,191,9.85,
2021,Sangamon,233,12.05,
2020,Schuyler,*,2.95,
2021,Schuyler,*,6.04,
2020,Scott,*,6.20,
2021,Scott,*,2.04,
2020,Shelby,*,0.92,
2021,Shelby,*,2.79,
2020,St. Clair,278,10.73,
2021,St. Clair,214,8.31,
2020,Stark,*,3.73,
2021,Stark,*,7.62,
2020,Stephenson,29,6.56,
2021,Stephenson,31,7.05,
2020,Tazewell,119,9.07,
2021,Tazewell,108,8.26,
2020,Union,*,1.20,
2021,Union,*,3.65,
2020,Vermilion,111,14.67,
2021,Vermilion,83,11.14,
2020,Wabash,*,0.87,
2021,Wabash,*,2.61,
2020,Warren,*,0.59,
2021,Warren,*,3.61,
2020,Washington,*,3.60,
2021,Washington,*,5.09,
2020,Wayne,*,0.62,
2021,Wayne,13,8.08,
2020,White,*,2.24,
2021,White,*,6.01,
2020,Whiteside,40,7.27,
2021,Whiteside,28,5.13,
2020,Will,573,8.25,
2021,Will,525,7.59,
2020,Williamson,34,5.08,
2021,Williamson,39,5.88,
2020,Winnebago,491,17.40,
2021,Winnebago,436,15.54,
2020,Woodford,*,2.35,
2021,Woodford,12,3.13,
