CY,patient_zip,Cases,,
2020,60002,22,,
2021,60002,30,,
2020,60004,24,,
2021,60004,33,,
2020,60005,23,,
2021,60005,36,,
2020,60007,27,,
2021,60007,25,,
2020,60008,23,,
2021,60008,14,,
2020,60010,24,,
2021,60010,16,,
2020,60012,*,,
2021,60012,*,,
2020,60013,10,,
2021,60013,14,,
2020,60014,43,,
2021,60014,33,,
2020,60015,*,,
2021,60015,10,,
2020,60016,50,,
2021,60016,57,,
2020,60018,19,,
2021,60018,28,,
2020,60020,21,,
2021,60020,10,,
2020,60021,*,,
2021,60021,*,,
2020,60025,15,,
2021,60025,24,,
2020,60026,*,,
2021,60026,*,,
2020,60030,20,,
2021,60030,24,,
2020,60031,23,,
2021,60031,18,,
2020,60033,16,,
2021,60033,11,,
2020,60034,*,,
2021,60034,*,,
2020,60035,10,,
2021,60035,*,,
2020,60040,*,,
2020,60041,*,,
2021,60041,17,,
2020,60042,*,,
2021,60042,*,,
2020,60044,*,,
2021,60044,*,,
2020,60045,*,,
2021,60045,*,,
2020,60046,15,,
2021,60046,31,,
2020,60047,16,,
2021,60047,15,,
2020,60048,11,,
2021,60048,*,,
2020,60050,43,,
2021,60050,39,,
2020,60051,26,,
2021,60051,22,,
2020,60053,10,,
2021,60053,13,,
2020,60056,26,,
2021,60056,24,,
2020,60060,21,,
2021,60060,28,,
2020,60061,*,,
2021,60061,20,,
2020,60062,24,,
2021,60062,*,,
2020,60064,31,,
2021,60064,42,,
2020,60067,20,,
2021,60067,25,,
2020,60068,27,,
2021,60068,30,,
2021,60069,*,,
2020,60070,11,,
2021,60070,*,,
2020,60071,*,,
2021,60071,*,,
2020,60072,*,,
2020,60073,41,,
2021,60073,39,,
2020,60074,38,,
2021,60074,24,,
2020,60076,28,,
2021,60076,20,,
2020,60077,29,,
2021,60077,20,,
2021,60078,*,,
2020,60079,*,,
2021,60079,*,,
2020,60081,*,,
2021,60081,*,,
2020,60083,*,,
2021,60083,*,,
2020,60084,13,,
2021,60084,22,,
2020,60085,136,,
2021,60085,119,,
2021,60086,*,,
2020,60087,20,,
2021,60087,24,,
2021,60088,*,,
2020,60089,15,,
2021,60089,*,,
2020,60090,40,,
2021,60090,33,,
2020,60091,*,,
2021,60091,*,,
2020,60093,*,,
2021,60093,*,,
2020,60095,*,,
2020,60096,10,,
2021,60096,*,,
2020,60097,20,,
2021,60097,22,,
2020,60098,28,,
2021,60098,20,,
2020,60099,51,,
2021,60099,32,,
2020,60101,55,,
2021,60101,50,,
2020,60102,22,,
2021,60102,14,,
2020,60103,25,,
2021,60103,20,,
2020,60104,87,,
2021,60104,89,,
2020,60106,23,,
2021,60106,29,,
2020,60107,38,,
2021,60107,26,,
2020,60108,18,,
2021,60108,19,,
2020,60109,*,,
2020,60110,22,,
2021,60110,31,,
2020,60112,*,,
2021,60112,*,,
2020,60115,39,,
2021,60115,42,,
2020,60118,*,,
2021,60118,*,,
2020,60119,*,,
2021,60119,*,,
2020,60120,65,,
2021,60120,59,,
2021,60121,*,,
2020,60123,60,,
2021,60123,65,,
2020,60124,*,,
2021,60124,*,,
2020,60126,29,,
2021,60126,20,,
2021,60129,*,,
2020,60130,40,,
2021,60130,37,,
2020,60131,38,,
2021,60131,24,,
2021,60132,*,,
2020,60133,29,,
